SDP Name,City,Yr,Revenue,Products,Invoices
CEO DHA OKARA,CEO DHA OKARA,2025.0,67029.3,3,4
CEO DHA PAKPATTAN,CEO DHA PAKPATTAN,2025.0,0.0,3,3
CEO DHA RAJANPUR,CEO DHA RAJANPUR,2025.0,0.0,3,3
CEO DHA RAWALPINDI,CEO DHA RAWALPINDI,2025.0,0.0,3,5
CEO DHA SAHIWAL,CEO DHA SAHIWAL,2025.0,0.0,3,3
CEO DHA SARGODHA,CEO DHA SARGODHA,2025.0,0.0,2,2
CEO DHA SHEIKHUPURA,CEO DHA SHEIKHUPURA,2025.0,14632.54,3,6
CEO DHA SIALKOT,CEO DHA SIALKOT,2025.0,0.0,2,2
CEO DHA TOBA TEK SINGH,CEO DHA TOBA TEK SINGH,2025.0,0.0,3,4
CEO DISTRICT HEALTH AUTHORITY,CEO DISTRICT HEALTH AUTHORITY,2024.0,126658.56,1,1
CHAUDHARY MEDICINE CENTER-TT SINGH,Tt Singh,2025.0,0.0,4,4
CHIEF DISTRIBUTOR'S - ISLAMABAD,Islamabad,2024.0,0.0,3,18
CHIEF DISTRIBUTOR'S - ISLAMABAD,Islamabad,2025.0,0.0,3,26
CIC HOLDINGS PLC,CIC HOLDINGS PLC,2024.0,76972.33,56,241
CIC HOLDINGS PLC,CIC HOLDINGS PLC,2025.0,85381.78,63,421
CRITICARE PHARMACEUTICALS,CRITICARE PHARMACEUTICALS,2024.0,874452.0,4,25
CRITICARE PHARMACEUTICALS,CRITICARE PHARMACEUTICALS,2025.0,239040.0,4,11
CRITICARE PHARMACEUTICALS (PVT) LTD,CRITICARE PHARMACEUTICALS (PVT) LTD,2025.0,0.0,2,14
CROWN PHARMACEUTICALS (PVT) LTD,CROWN PHARMACEUTICALS (PVT) LTD,2024.0,0.0,5,29
CROWN PHARMACEUTICALS (PVT) LTD,CROWN PHARMACEUTICALS (PVT) LTD,2025.0,0.0,4,22
CRYSTAL AGENCIES,CRYSTAL AGENCIES,2024.0,27926842.89,129,1175
CRYSTAL AGENCIES,CRYSTAL AGENCIES,2025.0,28505899.26,150,1277
"Children Hospital, Faisalabad","Children Hospital, Faisalabad",2025.0,198047.24,3,4
DHQ HOSPITAL (ALLIED-II HOSPITAL),Ii Hospital),2025.0,0.0,2,2
DNS ENTERPRISES,DNS ENTERPRISES,2025.0,540869.0,7,25
DUOC DAI NAM JOINT-STOCK CO,Stock Co,2024.0,0.0,1,6
DYNAM PHARMA,DYNAM PHARMA,2025.0,213702.58,10,11
DYNAMIC PHARMA - LAHORE,Lahore,2024.0,0.0,5,53
DYNAMIC PHARMA - LAHORE,Lahore,2025.0,0.0,4,36
DYNAMIC PHARMA - MULTAN,Multan,2024.0,0.0,5,61
DYNAMIC PHARMA - MULTAN,Multan,2025.0,0.0,5,103
EASA BUSINESS GROUP,EASA BUSINESS GROUP,2024.0,0.0,4,28
EASA BUSINESS GROUP,EASA BUSINESS GROUP,2025.0,0.0,3,7
ENERGIA PHARMA LTD. KENYA,ENERGIA PHARMA LTD. KENYA,2024.0,0.0,2,7
ENERGIA PHARMA LTD. KENYA,ENERGIA PHARMA LTD. KENYA,2025.0,0.0,1,1
ENERGIA PHARMA SERVICES NV,ENERGIA PHARMA SERVICES NV,2024.0,32142.86,9,19
