SDP Name,Rev2024,Rev2025,Mo2024,Mo2025,Inv2024,Inv2025,Churned,RevGrowth,MoGrowth,InvGrowth,ChurnProb,RiskLevel
SULTAN SUPPLIES SERVICES,60327043.0,0.0,8.0,0.0,1303.0,0.0,1,-100.0,-8.0,-100.0,0.91,🔴 High
INACTIVE - TAURAS MEDICAL COMPANY,2201070.0,0.0,4.0,0.0,189.0,0.0,1,-100.0,-4.0,-100.0,0.9,🔴 High
SAP HEALTH LIMITED COMPANY,3298.0,0.0,1.0,0.0,2.0,0.0,1,-100.0,-1.0,-100.0,0.9,🔴 High
Q-PHARMA,3180.0,0.0,7.0,0.0,3.0,0.0,1,-100.0,-7.0,-100.0,0.9,🔴 High
MARTIN DOW MARKER LTD.,0.0,0.0,3.0,0.0,0.0,0.0,1,0.0,-3.0,0.0,0.89,🔴 High
NABI QASIM INDUSTRIES (PVT) LTD,0.0,0.0,3.0,0.0,0.0,0.0,1,0.0,-3.0,0.0,0.89,🔴 High
SAHEL PROMO SARL,4871.0,0.0,1.0,0.0,1.0,0.0,1,-100.0,-1.0,-100.0,0.86,🔴 High
THREE M ENTERPRISES LAHORE,0.0,0.0,3.0,0.0,6.0,0.0,1,0.0,-3.0,-100.0,0.86,🔴 High
TABBA HEART INST. C/O M.ABDULLAH EN,299098.0,0.0,7.0,0.0,24.0,0.0,1,-100.0,-7.0,-100.0,0.85,🔴 High
PRIX PHARMA SH.P.K,19935.0,0.0,1.0,0.0,1.0,0.0,1,-100.0,-1.0,-100.0,0.83,🔴 High
N.G.GROUP,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,-1.0,0.0,0.32,🟡 Medium
ENERGIA PHARMA LTD. KENYA,0.0,0.0,4.0,1.0,0.0,0.0,0,0.0,-3.0,0.0,0.26,🟢 Low
AL-HAMD DISTRIBUTORS,0.0,0.0,12.0,8.0,1.0,0.0,0,0.0,-4.0,-100.0,0.17,🟢 Low
HEALTH RESOURCES DISTRIBUTORS - RWP,0.0,0.0,3.0,2.0,0.0,0.0,0,0.0,-1.0,0.0,0.15,🟢 Low
AMETHYST GLOBAL (THAILAND) CO.LTD,63612.0,11936.0,4.0,2.0,5.0,1.0,0,-81.23624473369804,-2.0,-80.0,0.13,🟢 Low
ASSENE-LABOREX LTD,386.0,0.0,6.0,4.0,5.0,4.0,0,-100.0,-2.0,-20.0,0.12,🟢 Low
"NACOPHARM MB CO., LTD",264.0,0.0,1.0,1.0,1.0,0.0,0,-100.0,0.0,-100.0,0.11,🟢 Low
MEDSWANA (PTY) LTD,1696.0,0.0,2.0,2.0,1.0,0.0,0,-100.0,0.0,-100.0,0.1,🟢 Low
Globe Pharmacy Ltd.,0.0,0.0,2.0,1.0,1.0,3.0,0,0.0,-1.0,200.0,0.1,🟢 Low
