Product,Y2022,Y2023,Y2024,Y2025
CEZOX DS SUSP. PS 15ML,319365.0,1371246.75,1261592.55,1473560.55
CEZOX SUSP. CP 30ML,1064556.0,4610718.0,5273366.4,5142521.7
CEZOX SUSP. PS 15ML,-321813.0,1217601.45,1708898.85,1468820.25
CIPROMAX SUSP. 125MG CP (AFG),617858.78,314611.44,0.0,0.0
CIPROMAX SUSP. 250MG CP (AFG),1052336.92,472602.88,0.0,0.0
CIPROMAX TAB. 250MG CP (AFG),337219.05,0.0,85304.1,0.0
CIPROMAX TAB. 500MG CP (AFG),1026937.36,1527367.23,236090.91,0.0
COLYSTYRENE SAC. 4G CP 1X25'S,0.0,0.0,0.0,757366.5
DAGIFLO TAB. 10MG CP (SLK) 2X7'S,0.0,28385.7,31928.1,46708.479999999996
DAGIFLO TAB. 10MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
DAGIFLO TAB. 5MG CP (SLK) 2X7'S,0.0,19549.019999999997,21698.6,20144.36
DAGIFLO TAB. 5MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
DAPWIZ PLUS XR TAB. 10/1000MG CP 2X7'S,0.0,0.0,5884168.68,7714459.36
DAPWIZ PLUS XR TAB. 10/500MG CP 2X7'S,0.0,0.0,3797854.2600000002,6652736.76
DAPWIZ PLUS XR TAB. 5/1000MG CP 2X7'S,0.0,0.0,3209853.0999999996,3575144.78
DAPWIZ PLUS XR TAB. 5/500MG CP 2X7'S,0.0,0.0,7099920.51,11277225.350000001
DAPWIZ TAB. 10MG CP (IQ) 2X14'S,0.0,0.0,27235.0,10319.400000000001
DAPWIZ TAB. 10MG CP 1X10'S,12954436.31,39382744.99,58403765.85,68085298.6
DAPWIZ TAB. 10MG CP DGDP 1X10'S,0.0,0.0,2423266.44,7359240.57
DAPWIZ TAB. 5MG CP 1X10'S,5025243.32,14336352.99,19368153.99,19874486.51
DAPWIZ TAB. 5MG CP INST. RIC 10X100'S,34718.23,0.0,0.0,0.0
DAPWIZ TAB. 5MG CP MSDS INST. 100X10'S,0.0,0.0,0.0,350000.0
DEPLAT TAB. 75MG CP (KEN),0.0,595.6500000000001,2297.88,2292.03
DIPOF CAP. 3/25MG CP 2X10'S,3345118.56,8786680.54,11510255.46,14992874.74
DIPOF CAP. 6/25MG CP 2X10'S,1842509.5,6951582.600000001,8615592.91,8545545.48
DIU TANSIN TAB 50/12.5MG INST RIC 1X10'S,0.0,0.0,0.0,1561088.2000000002
DIU TANSIN TAB. 50/12.5MG CP 1X10'S,11164850.97,23839321.44,23467783.51,26100658.38
DIU TANSIN TAB. 50/12.5MG CP INST.1200'S,0.0,0.0,1865940.0,1792644.0
DIU TANSIN TAB. 50/12.5MG CP MSDS 120X10,0.0,0.0,1778322.0,1700064.0
DIU TANSIN TAB.50/12.5MGCPRICINST120X10S,1669973.28,4917011.1288,3128801.5644,0.0
DUZALTA CAP. 20MG (SLK) 14'S,0.0,0.0,10897.18,18025.98
DUZALTA CAP. 20MG CP 2X7'S,15824987.84,33042971.57,49565335.76,60585484.25
DUZALTA CAP. 30MG (SLK) 14'S,0.0,0.0,15085.760000000002,23940.760000000002
DUZALTA CAP. 30MG CP 2X7'S,19891340.48,63836766.99,82214270.18,103323749.21
DUZALTA CAP. 30MG CP SPC (SLK) 2X7'S,0.0,0.0,0.0,22400.000000000004
DUZALTA CAP. 60MG (SLK) 10'S,0.0,0.0,4496.31,7847.240000000001
DUZALTA CAP. 60MG CP 1X10'S,5194023.29,15426498.64,21243589.53,21696157.880000003
DUZALTA CAP. 60MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
EGLARO TAB. 15MG CP 2X7'S,1169704.65,1771967.83,2155155.16,1710918.55
EGLARO TAB. 5MG CP 2X7'S,1033082.0400000002,1249282.1,1306559.28,1042188.85
EGLARO-S TAB. 15/100MG CP 2X7'S,6691695.67,22270723.62,46823296.27,82859421.2
EGLARO-S TAB. 5/100MG CP 2X7'S,750770.7,6114033.83,16772938.53,24856452.31
EMGLIN TAB. 10MG CP (MLI) 2X7'S,0.0,0.0,0.0,3084.4
EMGLIN TAB. 10MG CP (SLK) 2X7'S,35184.15,105055.17,94019.56,50619.880000000005
EMGLIN TAB. 10MG CP (SWL) 4X7'S,0.0,0.0,13886.4,0.0
EMGLIN TAB. 10MG CP (TJS) 14'S,0.0,0.0,0.0,235.44
EMGLIN TAB. 10MG CP (TJS) 4X7'S,0.0,0.0,0.0,1325.7
EMGLIN TAB. 10MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
EMGLIN TAB. 25MG CP (GTM) 1X2'S,0.0,6610.05,2169.45,25497.0
EMGLIN TAB. 25MG CP (GTM) 28'S,0.0,18708.75,37965.0,36405.0
EMGLIN TAB. 25MG CP (MLI) 2X7'S,0.0,0.0,0.0,1550.13
EMGLIN TAB. 25MG CP (SLK) 2X7'S,9411.68,43703.8,22886.84,36159.41
EMGLIN TAB. 25MG CP (SWL) 4X7'S,0.0,0.0,8229.17,0.0
EMGLIN TAB. 25MG CP SPC (SLK) 2X7'S,0.0,0.0,0.0,16499.559999999998
EMGLIN TAB. 25MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
EMPA Q TAB. 10MG CP (KEN) 20'S,0.0,7761.6,34947.2,30716.800000000003
EMPA Q TAB. 25MG CP (KEN) 20'S,0.0,9102.0,19080.4,11244.3
EMPA-M TAB. 12.5/1000MG CP (KEN) 14'S,0.0,0.0,19069.8,21343.08
