Yr,Mo,ProductName,TeamName,Revenue,Units,Product,RequestorTeams,PromoSpend,Requests
2024,8,THEWRIL,BONE SAVIORS,4071388.1633,6857.0,THEWRIL,BONE SAVIORS,199500.0,1
2024,8,TREATAN,METABOLIZERS,13181789.2011,31738.0,TREATAN,METABOLIZERS,95600.0,1
2024,8,VOXAMINE,TITANS,8352932.4218,18339.0,VOXAMINE,TITANS,703335.5,5
2024,8,XILICA,TITANS,13310374.0732,32729.0,XILICA,TITANS,2997052.75,44
2024,8,ZIBES,ALPHA,4811061.5448,33215.0,ZIBES,ALPHA,400455.9,3
2024,9,ANPLAG,CHAMPIONS,23784040.4295,17528.0,ANPLAG,CHAMPIONS,46410.0,1
2024,9,ARBI,WINNERS,4045798.5049,11430.0,ARBI,WINNERS,1240302.8,10
2024,9,AVSAR,CHALLENGERS,131096273.2406,288063.0,AVSAR,CHALLENGERS,34500.0,1
2024,9,AVSAR PLUS,BRAVO,42239278.3284,93962.0,AVSAR PLUS,BRAVO,967602.3,12
2024,9,DAPWIZ,LEGENDS,7063260.4937,22518.0,DAPWIZ,LEGENDS,92000.0,3
2024,9,DIPOF,MAVERICKS,811439.4382,2800.0,DIPOF,MAVERICKS,64000.0,2
2024,9,ESTAR,TITANS,34659260.13,80041.0,ESTAR,TITANS,616608.0,7
2024,9,EVOPRIDE,WINNERS,17031258.0047,28616.0,EVOPRIDE,WINNERS,44868.6,2
2024,9,EVOPRIDE PLUS,WINNERS,24661849.7251,57339.0,EVOPRIDE PLUS,WINNERS,1620042.1,27
2024,9,FEMOVA,GLADIATORS,14646471.3753,13648.0,FEMOVA,GLADIATORS,1175581.0,8
2024,9,FERFER,GLADIATORS,18199416.9241,24231.0,FERFER,GLADIATORS,1180453.0,10
2024,9,GALVECTA,NAVIGATORS,587784.607,1739.0,GALVECTA,NAVIGATORS,385466.0,3
2024,9,INOSITA PLUS,METABOLIZERS,100523016.8137,96911.0,INOSITA PLUS,METABOLIZERS,121000.0,1
2024,9,KALSOB,BONE SAVIORS,24420069.6176,39241.0,KALSOB,BONE SAVIORS,2381398.6799999997,28
2024,9,KLEVRA,MAVERICKS,7690272.8336,7767.0,KLEVRA,MAVERICKS,168850.0,3
2024,9,NISE,BONE SAVIORS,70377447.5601,271369.0,NISE,BONE SAVIORS,5155528.58,71
2024,9,ONITA,ELITE,12814865.7525,10873.0,ONITA,ELITE,1152491.0,21
2024,9,ORSLIM,WARRIORS,64347611.5475,29638.0,ORSLIM,WARRIORS,602137.0,13
2024,9,PARIDOPA,TITANS,7193710.8125,4709.0,PARIDOPA,TITANS,1532583.5,14
2024,9,RAMIPACE,CHAMPIONS,39667384.8485,63735.0,RAMIPACE,CHAMPIONS,325688.0,3
2024,9,RETZOLE,WARRIORS,3639207.85,2050.0,RETZOLE,WARRIORS,205000.0,1
2024,9,SACVIN,ALPHA,36997315.2653,26340.0,SACVIN,ALPHA,4727738.8,57
2024,9,SHEVIT,WARRIORS,7995531.115299999,16163.0,SHEVIT,WARRIORS,3424260.0,14
2024,9,SPARLIV,TITANS,3768972.9521,4776.0,SPARLIV,TITANS,720600.5,9
2024,9,TELSARTA,NAVIGATORS,7436982.053,27722.0,TELSARTA,NAVIGATORS,238983.0,1
2024,9,TELSARTA-A,NAVIGATORS,19269694.7942,46074.0,TELSARTA-A,NAVIGATORS,571720.0,4
2024,9,URITREAT,ELITE,1874277.2,2219.0,URITREAT,ELITE,83092.0,3
2024,9,VOXAMINE,TITANS,8223920.5592,18012.0,VOXAMINE,TITANS,417385.0,5
2024,9,XILICA,TITANS,13229377.0933,32862.0,XILICA,TITANS,627503.0,6
2024,9,ZILERO,CHAMPIONS,286110.9328,337.0,ZILERO,CHAMPIONS,168460.0,3
2024,10,ANPLAG,CHAMPIONS,27195238.532,20128.0,ANPLAG,CHAMPIONS,993200.25,19
2024,10,ARBI,WINNERS,4169558.8106,11814.0,ARBI,WINNERS,191959.8,6
2024,10,AVSAR,CHALLENGERS,138421597.0534,304105.0,AVSAR,CHALLENGERS,3797796.5,50
2024,10,AVSAR PLUS,BRAVO,44939461.9327,100023.0,AVSAR PLUS,BRAVO,579267.2,16
