City,Yr,Revenue,Qty,Products
HARLEY'S LIMITED,2025.0,2955.45,969.0,7
HARLEY'S LIMITED BURUNDI,2024.0,0.0,0.0,2
HASSAAN DISTRIBUTION,2025.0,115092.59999999999,692.0,3
HATAY PHARMACEUTICAL JOINT CO.,2024.0,0.0,0.0,1
HEALTH CARE ENTERPRISES,2024.0,6809399.69,30583.317,48
HEALTH CARE ENTERPRISES,2025.0,5214237.79,18172.87,30
HEALTHLINK ENTERPRISES,2024.0,6474827.4,25650.0,144
HEALTHLINK ENTERPRISES,2025.0,15680290.7,63088.0,149
HILTON PHARMA,2025.0,0.0,40.0,1
HOPE & HEALTH MEDICAL STORE,2024.0,0.0,334.0,5
HOPE & HEALTH MEDICAL STORE,2025.0,0.0,164.0,5
Hafizabad,2024.0,35397393.47,121821.0,155
Hafizabad,2025.0,49641036.02,156479.0,164
Hamd Distributors,2024.0,0.0,132.0,5
Hamd Distributors,2025.0,0.0,81.0,5
Haripur,2024.0,74251981.78,238218.0,200
Haripur,2025.0,95391249.82000001,270494.0,201
Hassan Abdal,2024.0,91473974.53,275090.0,196
Hassan Abdal,2025.0,129696809.08,350542.0,201
Helix Pharma (Pvt.) Ltd.,2024.0,0.0,600.0,1
Helix Pharma (Pvt.) Ltd.,2025.0,0.0,1320.0,2
Honduras,2025.0,3916.0299999999997,1872.0,18
Hyderabad,2024.0,151022522.59,492567.0,212
Hyderabad,2025.0,192307684.95,593905.0,211
IDL PHARMA DISTRIBUTOR LAHORE,2024.0,0.0,1036.0,5
IDL PHARMA DISTRIBUTOR LAHORE,2025.0,0.0,1598.0,5
INDUS PHARMA (PVT) LTD,2025.0,0.0,150.0,2
ITMG SEA CO. LTD,2024.0,2009.6100000000001,2379.0,8
ITMG SEA CO. LTD,2025.0,7520.17,5272.0,11
Ii Hospital),2025.0,0.0,0.0,2
Islamabad,2024.0,183726535.94,575878.0,222
Islamabad,2025.0,232006950.0,651480.0,225
Islamabad Inst Dis,2024.0,1115856.6,3440.0,26
Islamabad Inst Dis,2025.0,12185673.53,37263.0,108
JADE E SERVICES PAKISTAN (PVT) LTD,2024.0,214793.41,1220.0,33
JADE E SERVICES PAKISTAN (PVT) LTD,2025.0,581839.5,3517.0,34
JAMIL TRADERS,2024.0,4549988.13,28825.0,64
JAMIL TRADERS,2025.0,6228102.0,32780.0,73
JINDANI TRADERS,2024.0,3706124.36,21546.0,75
JINDANI TRADERS,2025.0,3149825.25,15824.0,71
JUNAID MEDICOSE DISTRIBUTORS,2024.0,0.0,3473.0,5
JUNAID MEDICOSE DISTRIBUTORS,2025.0,0.0,3533.0,6
Jacobabad,2024.0,65325947.9,210487.0,181
Jacobabad,2025.0,96547527.89,270015.0,183
Jhang,2024.0,131607055.71000001,427432.0,203
Jhang,2025.0,173465601.98,492020.0,196
Jhelum,2024.0,109951145.73,350250.0,195
Jhelum,2025.0,146114498.66,409733.0,201
KARACHI MEDICAL COMPANY,2024.0,78100.0,270.0,6
KER SOCIEDAD ANONIMA,2024.0,44370.84,21084.0,71
KER SOCIEDAD ANONIMA,2025.0,8139.95,6235.0,64
KHAN SEHAT LTD,2024.0,0.0,1.0,1
Karachi,2024.0,386686648.63,1452987.0,227
Karachi,2025.0,485490902.8,1563083.0,231
Kasur,2024.0,60825665.22,198238.0,187
Kasur,2025.0,85754679.6,250551.0,195
Khanewal,2024.0,67784919.03,232410.0,193
Khanewal,2025.0,95110219.24,281614.0,194
Kharian,2025.0,59592109.3,170619.0,195
Kohat,2024.0,130106983.5,394748.0,204
Kohat,2025.0,178022343.59,503088.0,204
Kotli,2024.0,77098868.44,222101.0,194
Kotli,2025.0,124074539.47,345503.0,200
LABOREX KENYA LIMITED,2025.0,154.27000000000004,3182.0,11
"LIAQUAT NATIONAL HOSPITAL, KARACHI",2024.0,0.0,45.0,2
"LIAQUAT NATIONAL HOSPITAL, KARACHI",2025.0,0.0,6877.0,5
LIFE LINE DISTRIBUTORS,2024.0,52535930.58,257003.0,144
LIFE LINE DISTRIBUTORS,2025.0,59891349.06,288235.32,168
LIFE SUPPORT PVT LTD,2024.0,11835.25,8436.0,7
LIFE SUPPORT PVT LTD,2025.0,1282.5,2999.0,5
Laborex Ltd,2024.0,386.04999999999995,1961.0,4
Laborex Ltd,2025.0,0.0,2716.0,5
Lahore,2024.0,285470018.97,948063.0,227
Lahore,2025.0,348541279.43,1013795.0,226
Larkana,2024.0,87942752.2,301511.0,195
Larkana,2025.0,127183918.61,378496.0,191
Layyah,2024.0,42364964.93,134548.0,194
Layyah,2025.0,128297363.32,367752.0,188
Lh,2024.0,128815790.57000001,403062.0,202
Lh,2025.0,171897006.52,484044.0,204
M. ABDULLAH ENTERPRISES,2024.0,69872929.54,300276.0,176
M. ABDULLAH ENTERPRISES,2025.0,72236355.32,295366.0,177
MACTER INTERNATIONAL LTD.,2025.0,0.0,38.0,1
MARTIN DOW LIMITED,2024.0,0.0,1236.0,4
MARTIN DOW LIMITED,2025.0,19940.0,997.0,3
MARTIN DOW MARKER LTD.,2024.0,0.0,35.0,1
MAX ENTERPRISES,2024.0,8760149.82,46931.0,70
MAX ENTERPRISES,2025.0,7918018.24,36384.0,48
MED N TECH PHARMA,2024.0,922685.4,10569.643,16
MED N TECH PHARMA,2025.0,1743792.25,14564.02,18
MEDDEC LLC,2024.0,2351.9,1489.0,4
MEDDEC LLC,2025.0,704.85,7343.0,4
MEDI AIM PHARMA,2024.0,14600046.36,88643.0,96
MEDI AIM PHARMA,2025.0,12332158.14,76436.0,78
