City,Revenue,Trips,RevPerTrip,OpportunityScore,Priority
MH INTERNATIONAL GROUP LLC,48351.0,0.0,48351.0,40.0,🟢 Good Coverage
CEO DHA LODHRAN,43810.0,0.0,43810.0,40.0,🟢 Good Coverage
CEO DHA FAISALABAD,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA GUJRANWALA,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA HAFIZABAD,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA JHANG,4118.0,0.0,4118.0,40.0,🟢 Good Coverage
CEO DHA JHELUM,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA KASUR,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA KHANEWAL,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA KHUSHAB,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA LAHORE,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA LAYYAH,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA MANDI BAHAUDDIN,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA SHEIKHUPURA,14633.0,0.0,14633.0,40.0,🟢 Good Coverage
CEO DHA MIANWALI,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA MULTAN,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA MUZAFFAR GARH,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA NANKANA SAHIB,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA NAROWAL,38011.0,0.0,38011.0,40.0,🟢 Good Coverage
CEO DHA OKARA,67029.0,0.0,67029.0,40.0,🟢 Good Coverage
CEO DHA PAKPATTAN,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA RAJANPUR,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA RAWALPINDI,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA SAHIWAL,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA D.G.KHAN,43810.0,0.0,43810.0,40.0,🟢 Good Coverage
CEO DHA CHINIOT,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA CHAKWAL,0.0,0.0,0.0,40.0,🟢 Good Coverage
CEO DHA BHAKKAR,0.0,0.0,0.0,40.0,🟢 Good Coverage
